Attacker_Name,sessions,activity_recorded,activity_per_session
 phil,35,1894,54.114285714285714
( I ),4,17,4.25
*** Kennedy ***,1,2,2.0
**** Kennedy ****,1,17,17.0
*Quimbaya*,6,6,1.0
-=Bone's vengeance=-,1,1,1.0
-=Boner=-,2,2,1.0
-D-,3,59,19.666666666666668
-Donar-,2,7,3.5
-Gunsmoke-,9,146,16.22222222222222
-I- SHAGRATH -I-,8,70,8.75
-Novacaine-,24,1200,50.0
.......,20,117,5.85
123456789,3,47,15.666666666666666
13 The Annihilator,15,26,1.7333333333333334
13 The Conqueror,3,3,1.0
13 The Destroyer,12,41,3.4166666666666665
1337,2,63,31.5
187-Proof,24,63,2.625
2 OF12,1,1,1.0
3RMAN,1,1,1.0
8Ball,18,105,5.833333333333333
=Reckless=,1,1,1.0
A R E S,3,35,11.666666666666666
ACE,65,2544,39.13846153846154
APOC4LYPSE,37,615,16.62162162162162
AX2,1,69,69.0
Abbaden,2,2,1.0
Abbara,21,93,4.428571428571429
Abberant,9,61,6.777777777777778
Ability,1,1,1.0
Abomni,26,337,12.961538461538462
Abomni2,2,2,1.0
Abomni3,37,634,17.135135135135137
Abyssal,42,940,22.38095238095238
Accidental Child,22,97,4.409090909090909
AchmedTheDeadTerrorist,28,815,29.107142857142858
Activate Anathema,9,276,30.666666666666668
Activate Cyno,82,291,3.548780487804878
Activate Fury,7,135,19.285714285714285
Activate Guardian,12,16,1.3333333333333333
Activate Interceptor,10,127,12.7
Activate Javelin,6,125,20.833333333333332
Activate Menhir,15,296,19.733333333333334
Activate Myriad,16,275,17.1875
Activate Sentry,11,432,39.27272727272727
Activate Siege,7,137,19.571428571428573
Active Aggressive,8,8,1.0
Acts,2,46,23.0
Adamantium,1,1,1.0
Adamastor,20,473,23.65
Admiral Nymyr,1,4,4.0
Adrenocorticotropin,2,11,5.5
Aetriden,45,1035,23.0
AexmZ,2,2,1.0
Aides,71,1302,18.338028169014084
Aiken Drum,24,269,11.208333333333334
